name,profession,known_for
Imtiaz Punjabi,director|writer,tt3038662|tt0391165|tt7762818
Kumar Jay,director,tt0391187
Anup Malik,director,tt4239544|tt0374080|tt2649940|tt2674306
Gautam Bhatia,producer|actor|director,tt0270820|tt0404097|tt0945604|tt0457014
Jagdev Bhambri,actor|director|producer,tt6146716|tt0497376|tt0395647|tt0381585
G. Krishna,writer|director|miscellaneous,tt2249388|tt0392950|tt0214178
Anil Mattoo,director|writer|assistant_director,tt0453367|tt0250122|tt2760790|tt2619994
R.G. Thaker,director,tt0382825
Aku Akbar,director|assistant_director|writer,tt0371924|tt0982875|tt1530891|tt4712628
Danish Aslam,director|writer|assistant_director,tt0367110|tt1578261|tt0439662|tt7807324
S. Deepak,director|writer,tt0135515|tt0231463
Ashok Kaul,miscellaneous|director|writer,tt0117374|tt0940893|tt0419499|tt0121352
Divya Khosla Kumar,actress|producer|director,tt4262516|tt3382148|tt0397882|tt2976182
Vasant R. Patel,assistant_director|director,tt0107986|tt0114175|tt0363455|tt0107249
Bimal Rawal,director|miscellaneous,tt0430441|tt0396553|tt0371636
Akshay Roy,assistant_director|director|writer,tt0986264|tt0323013|tt0372183|tt5472374
Chander Saigal,director|writer|assistant_director,tt0148842|tt0373814
Tariq Shah,actor|director|producer,tt0113457|tt0251194|tt0381357|tt5066906
Mohan Singh Rathor,writer|director,tt0396057
Indrajit Singh,director|producer,tt1056465|tt0395609
Shahrukh Sultan,director|writer|soundtrack,tt0395746|tt2617838|tt0403475|tt0945349
Rajesh Malik,director|assistant_director|miscellaneous,tt0097264|tt0273452|tt0409042|tt0814295
Inder Sen,director|assistant_director|writer,tt2791300|tt5831220|tt7632770|tt10773264
Manish Gupta,director|producer|writer,tt1963638|tt0483701|tt0397469|tt5060132
Krishna Naidu,director,tt2710414|tt2708040|tt0452175|tt0377496
Ved,actor|director,tt0047990|tt0139237|tt0131781
Rajeev Virani,producer|director|actor,tt0397551|tt1907660|tt0481301|tt1663647
Kapil Kapoor,assistant_director|director|production_manager,tt7448208|tt0397742|tt0155997|tt0816382
Kannan Iyer,writer|actor|director,tt0118931|tt2406676|tt1170411|tt8364658
Sachin Bajaj,director|assistant_director|miscellaneous,tt0206921|tt0813540
Tushar Hiranandani,writer|miscellaneous|director,tt0813540|tt8108206|tt1980986|tt5235880
Sushil Malik,assistant_director|director|sound_department,tt0359457|tt0284456|tt1028545|tt0070947
Rajatesh Nayyar,assistant_director|director|writer,tt0293342|tt1224454|tt0218533
Abhiyan Rajhans,assistant_director|director,tt0218533|tt0466965|tt0347332|tt0319736
Kunal Vijaykar,actor|director|writer,tt1166100|tt0402014|tt1634329|tt0265148
R. Kannan,director|writer|producer,tt4047132|tt1621424|tt8023700|tt7087934
Pankaj Advani,writer|director|editor,tt1080568|tt1784715|tt0110222|tt1252614
Maruti,actor|director|writer,tt0215898|tt0378068|tt0386567|tt0357769
Sanjeev Reddy,writer|director|assistant_director,tt0338477|tt4512266|tt1579625|tt2188805
Dinesh Saxena,assistant_director|director,tt2637582|tt0066758|tt0074503|tt1543205
Shrey Srivastava,director|writer,tt1099982|tt0405046
Vinod Talwar,director|actor|producer,tt0374151|tt2622286|tt0424491|tt0455140
Ashoke Pandit,director|actor|producer,tt0116950|tt0410954|tt1852961|tt6986710
Rakesh Sharma,actor|director|camera_department,tt0402178|tt1187043|tt0248126|tt2773596
M.M. Baig,assistant_director|actor|director,tt0976027|tt0359186|tt0348078|tt0231140
Deepak Ramsay,assistant_director|director,tt0478868|tt0989605|tt0259877|tt0260494
Vikram Chopra,miscellaneous|director|writer,tt0109010|tt0456413|tt5943306|tt0326600
Raj Purohit,director|writer|editor,tt2976172|tt4010306|tt0109010
Manish Robin,director,tt0409068
Chander H. Bahl,director|assistant_director|writer,tt6805396|tt0798761|tt1039900|tt0373965
Rohit Manash,director,tt0409068
Santram Varma,assistant_director|director,tt3426342|tt7154568|tt1491938|tt7454420
Glen Barreto,director|assistant_director|writer,tt10270250|tt1538210|tt10289786|tt0827714
Ajay Mehra,director|actor|assistant_director,tt3854246|tt2084863|tt0158047|tt0407274
Anand Gandhi,writer|producer|director,tt1124322|tt0410521|tt8239946|tt1773764
Shabah Shamsi,assistant_director|writer|director,tt0350613|tt0466367|tt0250122|tt0453367
Karan Malhotra,assistant_director|director|writer,tt0347473|tt0449994|tt1849718|tt0367110
Sushil Gupta,director|assistant_director,tt0056806|tt3353592|tt0384216
Leena Yadav,director|producer|writer,tt3043252|tt1183917|tt8772898|tt0409527
Adeep Singh,director|assistant_director,tt0109010|tt2435680
Anup Kurian,director|writer|producer,tt0415144|tt2009592
Saurab Narang,director,tt7418204|tt0416282
Vicky Tejwani,producer|director,tt0489028|tt1825801|tt0419992|tt0414503
Gurdip Singh,assistant_director|producer|miscellaneous,tt0097045|tt0225566|tt0085456|tt0823607
Shatrujit Paul,producer|writer|director,tt0213879|tt0072632|tt0207320
Ashok Chopra,miscellaneous|director,tt0961069|tt0373683|tt0363896
Shashi Ranjan,actor|director|producer,tt4651394|tt0430030|tt1238735|tt0454461
Shreyas Talpade,actor|producer|soundtrack,tt1024943|tt1806913|tt0824316|tt0453729
Imtiaz Ali,writer|director|actor,tt1839596|tt1275863|tt1093370|tt2980794
Ajit Pal Mangat,actor|director|writer,tt0157730|tt0102119|tt1170411|tt3323640
Rajeev Jhaveri,writer|editor|director,tt4022278|tt1391544|tt4819546|tt0348662
Anil V. Kumar,director|producer,tt2816764|tt7134830|tt7437464|tt8996230
Prakash Kovelamudi,director|actor|writer,tt8108196|tt4959326|tt0810364|tt1621994
V. Ravindra,director,tt0366295
Puja Bedi,producer|writer|miscellaneous,tt0365847|tt0379370|tt0382534|tt2175671
Rahat Kazmi,producer|actor|writer,tt6869706|tt8371204|tt9603216|tt5569160
Sanjay Bhatia,writer|actor|director,tt7781526|tt4387040|tt3405236|tt4430212
Vijay Krishna Acharya,writer|director|soundtrack,tt5970844|tt0422091|tt0441048|tt1833673
Nishikant Kamat,actor|director|writer,tt1166809|tt1266583|tt4430212|tt0833444
Kookie Gulati,director|assistant_director|writer,tt9614452|tt1455816|tt0422236|tt7639372
Vinnil Markan,director|assistant_director,tt1455816|tt3721462|tt2622130|tt8325250
Charudutt Acharya,writer|director|music_department,tt1618430|tt7387596|tt2499778|tt2871010
Rajesh Nanda,director,tt0429652|tt0428875|tt3611400
Anil Kumar,producer|director,tt0362147|tt3558162|tt2652112|tt0477255
Amit Chandra Sahay,director|producer,tt0426863
Gauravv K. Chawla,director|writer|assistant_director,tt6514196|tt1618430|tt6084582|tt0476527
Kader Kashmiri,director|writer,tt0140377|tt0364201|tt0432536
Janmendra Ahuja,director|assistant_director,tt0274019|tt1236470
J. Hemambar,director|miscellaneous,tt0273452|tt0907619|tt0155072|tt0099869
Shonali Bose,director|writer|producer,tt8902990|tt2929690|tt1785333|tt0414713
Bedabrata Pain,producer|director|writer,tt2509326|tt0414713|tt1785333
A.L. Vijay,director|writer|producer,tt2617676|tt7695522|tt1857670|tt1365030
Anupam Sinha,director|writer,tt4965846|tt0435390
Chandrakant Joshi,director|actor|assistant_director,tt0091512|tt0350177|tt1414851|tt0343048
Aryeman Ramsay,actor|director|writer,tt5151622|tt0102846|tt8333800|tt0437182
Dinesh Vijan,producer|director|music_department,tt5764096|tt8108202|tt3678782|tt1275863
Ali Abbas Zafar,director|writer|assistant_director,tt2574698|tt5956100|tt4832640|tt7721800
Mrighdeep Lamba,assistant_director|director|writer,tt1867070|tt6712014|tt0461936|tt2806788
Ahishor Solomon,writer|assistant_director|director,tt0443208|tt0399942|tt8333978|tt2699840
Rohit Jugraj,director|writer|assistant_director,tt1178657|tt7177642|tt1784589|tt0454481
Vara Prasad,director|camera_department,tt0940710|tt0282883
Subhankar Ghosh,director,tt0102701|tt0444983|tt0453335
Rahul Aggarwal,producer|director|actor,tt2308937|tt1245732|tt0405121|tt0317153
Shripal Morakhia,producer|director|writer,tt1577050|tt0443594|tt4469016|tt1213928
A. Nairang,director|writer|producer,tt0428820|tt0445085
Maneesh Sharma,assistant_director|producer|director,tt3495026|tt3495030|tt1610452|tt0439662
Roshan Abbas,director|actor|writer,tt0116308|tt10712112|tt1937092|tt11046836
Radhika Rao,director|assistant_director|writer,tt5255710|tt1620719|tt0449306|tt3595298
Suresh Kumar Sharma,producer|director|writer,tt0296705|tt0364196
Sanjiv Jaiswal,writer|director|producer,tt2236494|tt7228072|tt1883330|tt0444820
Rajesh Pillai,director|producer,tt1821682|tt0448543|tt5324456|tt2939912
Mohamed Al Daradji,producer|director|writer,tt1772915|tt3312762|tt0854114|tt1415290
Kukoo Kapoor,director|writer|producer,tt0816701|tt0089582|tt0482669|tt3505982
Surya Prakash,director|cinematographer,tt0273776|tt0447890
Nikhil Saini,writer|director|miscellaneous,tt0367116|tt1084972|tt0254927|tt1282055
Amitabha Singh,cinematographer|producer|director,tt0466460|tt0860454|tt0453842|tt4505006
Samar Shaikh,director|art_department|assistant_director,tt0871510|tt3359290|tt1833673|tt0439662
S. Srivastava,producer|director|cinematographer,tt0449923|tt3562392|tt0067403|tt0042207
Ishaan Trivedi,writer|director|actor,tt1587424|tt0453582|tt5780570|tt1801521
Bindu Shukla,assistant_director|director,tt0213773|tt0148691|tt0115616|tt0423313
Paritosh Painter,script_department|producer|writer,tt0845448|tt7639372|tt1176961|tt1943898
Samar Khan,producer|director|writer,tt0453748|tt6868278|tt1101665|tt5165688
Mohit Suri,director|writer|assistant_director,tt9877170|tt1753640|tt2203308|tt0499041
Vishram Sawant,director|writer,tt0845529|tt0454435|tt2599878
Vivek Agnihotri,director|writer|producer,tt0454431|tt1890363|tt2801992|tt8108268
Siddharth Anand,director|writer|producer,tt0456165|tt1182972|tt6912162|tt7430722
Devang Dholakia,director|producer|writer,tt4887776|tt1253583|tt4272420|tt2137850
Jijy Philip,director|assistant_director,tt0451824|tt2792284|tt3568970|tt4068208
Gauri Shinde,director|writer|producer,tt2181931|tt1838739|tt0456153|tt5946128
Rajesh Mapuskar,producer|director|writer,tt2122340|tt0456144|tt1187043|tt6120548
Jayant Gilatar,director|writer|producer,tt10080996|tt2008530|tt4600778|tt0458204
Manish Gupta,writer|director|producer,tt0432047|tt3337550|tt1825801|tt1183946
Onkar Nath Mishra,writer|actor|director,tt0273513|tt0432506|tt0275806|tt3387088
Vaibhav Misra,assistant_director|writer|director,tt5209420|tt0451850|tt1562871|tt1024943
Imran Khalid,director,tt2679304|tt2009571|tt2008624|tt2006148
Devashish Makhija,writer|director|miscellaneous,tt2830226|tt8476998|tt6471054|tt4939690
N.S. Raj Bharath,director|writer,tt0778881|tt0186806|tt0089582
Mukul Abhyankar,director|writer|producer,tt3847072|tt7383926|tt7387538|tt7384848
Goutam Pawar,director,tt0395463
Satish Duggal,assistant_director|director|actor,tt0318584|tt0983994|tt0464995|tt0284481
Zunaid Memon,producer|writer|director,tt0466546|tt0977659|tt2388817|tt0387678
Vishal Pandya,director|assistant_director|writer,tt5325684|tt4865436|tt1388424|tt5638474
Abhigyan Jha,director|writer|producer,tt0466965
Dibakar Banerjee,director|writer|music_department,tt1608777|tt0466460|tt3447364|tt2072227
Habib Faisal,writer|director|actor,tt2308773|tt1610452|tt1714832|tt3495026
Sachin Yardi,writer|director,tt10243678|tt2027138|tt0456500|tt1170399
Sashi Kumar,actor|director|producer,tt4888834|tt4882692|tt1521023|tt0470399
P.D. Shenoy,writer|director|producer,tt0378751|tt0312712|tt0063111|tt1399087
Shoojit Sircar,director|producer|actor,tt2317337|tt2855648|tt3767372|tt5571734
Babloo Seshadri,assistant_director|director|editor,tt3766798|tt0290940|tt0290839|tt0156663
Aditya Datt,director|writer,tt0814082|tt1961330|tt2229842|tt0477253
Shahrukh Mirza,writer|director|producer,tt0350030|tt0077792|tt0823252|tt0403276
Kabeer Kaushik,director|writer,tt2339549|tt1465493|tt0477857|tt1266545
Adarsh Jain,director,tt1057878|tt0477574|tt2679108|tt5500266
Mahrukh Mirza,writer|director|producer,tt0403276|tt0350030|tt0077792|tt0823252
Ashok Nanda,director|producer|writer,tt8130558|tt0479592|tt0342428|tt1643242
Hameed Alam,director,tt2732696|tt0479718|tt3822494
Vivek Shah,editor|director,tt0454435|tt0845529|tt0476649|tt0456549
Aspi Irani,director|producer|writer,tt0129370|tt0155161|tt0154189|tt0068620
Pranavanand,director|assistant_director,tt0214178|tt0401899|tt7756494
Sanjay M. Khanduri,director|assistant_director|writer,tt0995718|tt2402131|tt2375256|tt5728694
Andaleeb Sultanpuri,director|assistant_director,tt0226847|tt0109117
Feroz Abbas Khan,director|writer,tt9127232|tt0459293|tt3672618
Manish Sharma,director,tt0409068|tt0485466
Shujaat Saudagar,director|producer|writer,tt8585426|tt0487249|tt6844142|tt2137241
Pawan Gill,producer|writer|assistant_director,tt2112978|tt5891348|tt3449788|tt0441048
Ricardo Freitas,producer|director|editor,tt0489914|tt0923156|tt1225958|tt1925393
Partho Mitra,director,tt8747458|tt0488840|tt1888332|tt1267410
V.G. Samant,director,tt0488836
Sarovar Banka,director|writer|producer,tt6023252|tt0489038|tt1704680
Kewal Singh,assistant_director|director|actor,tt7274816|tt7279078|tt0485535|tt4411828
Kanwar Jagdish,actor|director,tt2377938|tt2622302|tt0420332|tt1191138
Dhirendra Bohra,director|producer,tt0090674|tt0493354
Manoj Tiwari,assistant_director|director|writer,tt0345043|tt3590416|tt10816510|tt0813540
Manish Srivastav,assistant_director|director|writer,tt0361411|tt0433116|tt1016177|tt2190820
Ram Lakhan,director|actor|producer,tt4635372|tt1704145|tt0494924
Vikas Bahl,producer|writer|director,tt1327035|tt1841542|tt4007558|tt3322420
Kangana Ranaut,actress|director|writer,tt1694542|tt1029231|tt3322420|tt2140465
Asrani,actor|director|writer,tt0242519|tt0073707|tt0237022|tt0075825
Shailendra Shukla,director|assistant_director|producer,tt0400584|tt9056988
Sumbul Gazi,director|writer|producer,tt0497887|tt1270768
Qamar Narvi,director|writer|actor,tt9355126|tt2894356|tt0176327|tt0384822
Ravi Jadhav,director|writer|producer,tt3446426|tt10122504|tt5755606|tt1590129
Nupur Asthana,director|actress|writer,tt7151596|tt3483646|tt1392744|tt2057441
Sudarshan K. Rattan,writer|director|producer,tt0359368|tt2603462|tt1333130
Sunil Kumar Agrawal,assistant_director|writer|director,tt1010048|tt0348656|tt0292552|tt1084972
Girish Girija Joshi,assistant_director|director,tt0347332|tt1479857|tt0319736
Raama Mehra,miscellaneous|actor|assistant_director,tt2663818|tt0926187|tt0246729|tt8876008
Madan Bawaria,director|assistant_director,tt0318584|tt7456806
Param Gill,writer|director|producer,tt4052500|tt3498590
Rakesh Sawant,director,tt0783730|tt3840026|tt2298856|tt1372304
Ayan Mukherjee,actor|director|writer,tt0367110|tt1324059|tt6277462|tt2178470
Jayesh Pradhan,miscellaneous|director,tt0827714|tt2555958|tt1179781|tt1305797
Saawan Kumar Tak,director|producer|music_department,tt0178212|tt0087586|tt0109391|tt0102835
Sanjay Zaveri,director|assistant_director,tt8306742|tt0348824|tt8859830|tt0497620
Shivam Nair,director|producer,tt3619710|tt0831840|tt6170954|tt1334254
Musavir Jaleel,director|assistant_director|script_department,tt1900937|tt0486531|tt0349620|tt1213928
Kamal,miscellaneous|actor|director,tt0359059|tt0079584|tt0271023|tt0413984
Vishesh Bhatt,producer|director|writer,tt0495032|tt0833484|tt3848938|tt1216300
Bappaditya Bandopadhyay,director|writer|cinematographer,tt5303406|tt5465450|tt3778178|tt1091794
Kunal Deshmukh,director|writer|assistant_director,tt2319889|tt3483712|tt1216300|tt1522329
Farhad Samji,writer|director|music_department,tt4535650|tt2112124|tt2978626|tt1728986
Vishal Mahadkar,director|assistant_director|writer,tt1020937|tt0499041|tt3720634|tt2246595
Karan Arora,producer|actor|director,tt2063745|tt1667823|tt2190820|tt0480002
Soumik Sen,writer|director|music_department,tt9179414|tt2573750|tt1314367|tt5912310
Kanwal Biala,director|writer|producer,tt3286586|tt0152509|tt0308538
Amit Ravindernath Sharma,director|producer,tt3398048|tt0410732|tt7725596|tt5747326
Aniruddha Roy Chowdhury,director|writer|producer,tt5571734|tt3754704|tt0814012|tt1359552
Vibhu Puri,writer|director|assistant_director,tt3004774|tt4338154|tt2187972|tt1438298
M.N. Yasin,director|writer|assistant_director,tt0230141|tt2145873|tt0230684|tt0366656
A.S. Ravindra Babu,director|assistant_director,tt1579801|tt0305173
Himmat Dave,director|assistant_director,tt0045524|tt0867252|tt1833077|tt2784720
Faisal Saif,writer|director|producer,tt5534054|tt1563732|tt0852989|tt0819777
Smeep Kang,actor|writer|director,tt8206708|tt5270366|tt2245544|tt2053483
Jasmeet Dhodhi,assistant_director|director,tt0823451|tt0488906|tt0430381
Sahil Sangha,director|writer|producer,tt3359290|tt1877691|tt0485272|tt9359492
Ajai Sinha,director|writer,tt1801521|tt2224254|tt8765164|tt0400977
Ajay Kumar,director|assistant_director,tt0459605|tt0456144|tt1199534|tt4571832
Aditya Dhar,writer|director|music_department,tt1706317|tt0770214|tt1708453|tt8291224
Lucky Kohli,producer|director,tt0841096|tt1255873
Vishwamitra,director|producer,tt0833978|tt0283934
Bejoy Nambiar,producer|writer|director,tt1836912|tt6613814|tt0315642|tt2358412
Raaghav Dar,writer|director|assistant_director,tt2191627|tt1309561|tt5935704|tt1512220
Akshat Verma,writer|director|actor,tt6102396|tt1934231|tt8427926|tt0835826
Arif Ali,writer|director,tt6871422|tt0831840|tt3716142|tt2366871
Faruk Kabir,director|writer|assistant_director,tt7715102|tt1292642|tt10118064
Kedar Shinde,director|writer|producer,tt5914500|tt0845554|tt7651202|tt1634331
Advait Chandan,assistant_director|director|miscellaneous,tt6108090|tt1433810|tt1373098|tt0986264
Dheeraj Kumar,producer|director,tt1137434|tt11199474|tt1715300|tt1454765
Amar Butala,producer|director|writer,tt5882970|tt4467202|tt3863552|tt0857385
Surendra Kumar Bohra,director,tt0173156
Afzal Khan,writer|producer|director,tt0320097|tt0289686|tt1234250|tt0251194
Abhishek Pathak,producer|assistant_director|director,tt7363076|tt0488414|tt7363104|tt4430212
Anshul Sharma,assistant_director|miscellaneous|director,tt1926313|tt1327035|tt0488414|tt2857500
Shlok Sharma,director|assistant_director|actor,tt1327035|tt6149820|tt2361746|tt1954470
Aanand L. Rai,producer|director|music_department,tt6484982|tt2359810|tt6527426|tt2140465
Akarsh Khurana,writer|actor|director,tt1029231|tt7919680|tt1198101|tt0432637
Ashish R. Mohan,assistant_director|actor|casting_director,tt4023852|tt1948150|tt2166214|tt0444769
Mudassar Aziz,writer|music_department|soundtrack,tt1182884|tt0814082|tt1152845|tt5472758
Harryy W. Fernaandes,director|writer|assistant_director,tt0874854|tt5473982|tt5216766|tt5216392
Nikhil Bhat,director|writer|assistant_director,tt10919304|tt2796318|tt6514010|tt1370437
Lovely Singh,assistant_director|director|casting_director,tt0374271|tt0887753|tt0489560|tt5600714
Glenn,director|writer,tt0827714
Ankush,director|writer,tt0827714
Surindara Suri,director,tt0078739
Shakun Batra,assistant_director|director|actor,tt1703958|tt0473367|tt1230165|tt4900716
Navdeep Singh,director|writer|actor,tt0920464|tt5502766|tt9052960|tt3742284
Tariq Khan,director|writer|art_department,tt9007142|tt1420539|tt1261047|tt0347332
Ajay Kanchan,director,tt0465376
Bhagwan Thakur,director|composer,tt2016931|tt0950681
Milind Rau,assistant_director|director|producer,tt10973118|tt7471004|tt0382383|tt5459644
Sudhish Kamath,writer|producer|director,tt6825762|tt5207116|tt0950715|tt1740745
Mukesh Chhabra,casting_director|casting_department|actor,tt5074352|tt3863552|tt3390572|tt1839596
Rohit Dhawan,writer|director|assistant_director,tt1985981|tt3679060|tt0807758|tt0461936
Sharique Minhaj,director|writer,tt0487148|tt5021968
Ajay Sharma,director|producer|writer,tt7415678|tt2613424|tt0451614|tt0427527
Pradeep Mani,director,tt0296705
Akshay Shere,assistant_director|director,tt0476649|tt0432047|tt1649760|tt0831816
Sarmad Sultan Khoosat,director|actor,tt5451208|tt4943992|tt2403201|tt1636696
Deva Katta,director|writer|music_department,tt2224057|tt1603362|tt4697076|tt0971222
Sharankumar Chand,director,tt0284383|tt0378645
Deepak S. Shivdasani,director|writer|producer,tt0449892|tt0366696|tt0292740|tt1228726
Sanjay Sharma,director|writer|producer,tt4413354|tt1742307|tt0979902|tt6232448
M. Parvez,writer|director,tt0172617|tt0482671|tt0101742|tt0404797
Amrit Sagar,producer|director,tt4471622|tt2416294|tt0983990|tt5201864
Sachin Kundalkar,director|writer,tt0984107|tt1587676|tt4443924|tt6078304
Hemant Madhukar,writer|director|assistant_director,tt2691010|tt0988655|tt1781948|tt9605894
Ajay Bhuyan,director|assistant_director|writer,tt3822600|tt1954381|tt4766254|tt5745872
Sagar Ballary,director|writer|assistant_director,tt1014672|tt8016380|tt2034011|tt1939654
Pravesh Bhardwaj,assistant_director|director|writer,tt0286505|tt0317985|tt2459170|tt1646217
Rakesh Nahata,director|producer|miscellaneous,tt1252544|tt0374117|tt3486536
R. Balki,writer|director|producer,tt2181931|tt5946128|tt0976026|tt1532957
Sajid,writer|music_department|director,tt2978626|tt1728986|tt4535650|tt2112124
Sharat Katariya,writer|director|actor,tt7147540|tt3495030|tt3495026|tt1667460
Bhavna Talwar,director|producer|writer,tt1285301|tt1047459|tt4621398|tt5942346
Hasan Tariq,director,tt1627028|tt0448373|tt1989448|tt0234328
Chetan Desai,visual_effects|director|animation_department,tt0238936|tt0254481|tt2354560|tt3886444
Rajiv S. Ruia,director|writer|soundtrack,tt1339313|tt8028076|tt2929840|tt0404240
Sunil R. Prasad,director,tt4896462|tt5216498|tt6386084|tt1068660
Kaushik Roy,director|writer|producer,tt1073097
Saurabh Varma,director|miscellaneous|writer,tt4365060|tt2796318|tt0490170|tt4364998
Raj Pendurkar,director,tt1083988|tt2497024
Alankrita Shrivastava,director|writer|assistant_director,tt6494622|tt1666184|tt4807830|tt9176296
Dilip Sood,director|writer,tt1108831|tt3789538
S. Soni,director,tt1107308
Ritesh Menon,producer|director|assistant_director,tt4094820|tt7782432|tt7799486|tt1213928
Pammi Somal,director|writer|producer,tt2066925|tt1112725|tt2073038
Sudipto Chattopadhyay,writer|director|actor,tt0823451|tt1124386|tt2250620|tt4594050
Akash Jain,director|assistant_director,tt0482045|tt2637656|tt2784992|tt0480572
Jyoti Singh,actress|producer|production_manager,tt3386264|tt3476576|tt1806740|tt4910010
Muazzam Beg,writer|director|actor,tt1126516|tt1941638|tt1839596|tt0984122
Anil Kumar Sharma,producer|director,tt0366658|tt1980970|tt6445398
Abhishek Varman,assistant_director|director|writer,tt0449994|tt2372678|tt0238936|tt1188996
Abhinav Shiv Tiwari,director|writer|assistant_director,tt0816206|tt2137171|tt5207116|tt2086847
Nitin Kakkar,director|writer|assistant_director,tt9105014|tt2417560|tt9248952|tt8852558
Harshavardhan Kulkarni,writer|director|producer,tt1073097|tt3173910|tt1366686|tt4333674
Mahesh Nair,director|actor|writer,tt0433605|tt5680206|tt1570417|tt1111869
Kanu Behl,director|producer|writer,tt8414820|tt3019620|tt1608777|tt11069674
Prem Soni,writer|director,tt0490170|tt1986040|tt1174041
Ashwani Dhir,writer|producer|director,tt2178508|tt5864184|tt1578116|tt8772742
Keshhav Panneriy,director|writer|editor,tt2153500|tt2731150|tt2179336|tt2731276
Ajit Sinha,director|editorial_department|assistant_director,tt0133024|tt0106333|tt2327956|tt0404537
Dipesh Jain,writer|editor|producer,tt2369357|tt1518185|tt2302416|tt2188649
Anand Tiwari,actor|producer|director,tt2082197|tt1010048|tt2436516|tt0977855
Raj Kumar Gupta,director|writer|producer,tt2246724|tt1241195|tt1734110|tt7363076
Willy,director,tt3743514|tt0271996
Raja,director,tt1621166|tt3325444|tt1801831|tt0271996
Sohail Tatari,director|music_department,tt8682658|tt4742490|tt2912578|tt1260689
Anil Senior,director|writer,tt10305992|tt1218345|tt4362346|tt6969506
Shailesh Verma,writer|director,tt1217642|tt1185412|tt2767712
Arindam Nandy,director|writer|soundtrack,tt1220718
Ayush Raina,director|writer,tt9077626|tt3644222|tt1221142|tt3177332
Sushil Rajpal,cinematographer|director|writer,tt8380128|tt0985636|tt1722425|tt10399702
Vasan Bala,writer|actor|director,tt5662932|tt8055888|tt2350496|tt2198101
Chand Mehta,assistant_director|director|editor,tt1483815|tt0381090
Anthony D'Souza,director|writer|producer,tt11022324|tt1223922|tt6017906|tt2571140
Jaiveer,writer|actor|director,tt4387040|tt2438764|tt9624498|tt1465488
Dayanand,director|costume_department,tt2706372|tt1252292|tt2855066
Rajesh Ram Singh,director|producer,tt0326745|tt3418990|tt4806056|tt6016672
Luv Ranjan,producer|writer|director,tt4430136|tt7581902|tt1926313|tt1327035
Supavitra Babul,director|writer|producer,tt1241195|tt2347289|tt7743400|tt5915502
Milind Gadagkar,writer|director|soundtrack,tt1016177|tt1201557|tt1267500|tt1612611
Shree Narayan Singh,editor|director|editorial_department,tt2377938|tt3848892|tt5785170|tt1280558
Neeraj Pandey,writer|editorial_department|director,tt4169250|tt3848892|tt1280558|tt2377938
Sanjay Puransingh Chauhan,director|writer,tt1285245
Manish Harishankar,assistant_director|director|writer,tt2615584|tt1252596|tt3021244|tt5289170
Shashant Shah,director|producer,tt2848824|tt1884268|tt1288638|tt7275814
Sunaina Bhatnagar,assistant_director|director|writer,tt1275863|tt6033536|tt1839596|tt1093370
Sourabh Shrivastava,director|writer,tt1312135|tt7282762|tt5013008
Mukesh Saigal,director,tt0897413
Abhinay Deo,director|producer,tt1934231|tt2792284|tt6972140|tt1772872
Navaniat Singh,director|assistant_director|producer,tt3607226|tt1904875|tt2821880|tt1694561
Sai Kabir,writer|director,tt2338862|tt3290688|tt10766374|tt5784864
Raj Mehta,assistant_director|actor|director,tt4900716|tt8504014|tt2402131|tt1545082
Ashish R. Shukla,director|writer|miscellaneous,tt7111656|tt7099330|tt1327035|tt2401719
Kushal Ruia,art_department|director|producer,tt2317103|tt2661448|tt1946563|tt2677096
Nishtha Jain,director|writer|producer,tt1360797|tt2393725|tt2196638|tt2678148
Jehangir Surti,director|assistant_director|miscellaneous,tt1372681|tt1334254|tt1929237
Vijay Lalwani,writer|director|producer,tt1373156
Manoj Amarnani,actor|director|writer,tt1389126|tt3881136|tt1188996
Ashter Syed,producer|director|editor,tt5543746
Sheershak Anand,writer|director|editor,tt2404519|tt4853926|tt1372681|tt2229842
Shantanu Ray Chhibber,writer|director|actor,tt2229842|tt4853926|tt2404519|tt1372681
Anshai Lal,assistant_director|director,tt1185420|tt5502766|tt0871510|tt2344678
B. Padmanabham,assistant_director|director,tt0284056|tt0055949|tt0060689|tt0154630
Navinder Pal Singh,assistant_director|director|actor,tt3449788|tt11046300|tt1201557|tt0378072
Saad Khan,writer|director|cinematographer,tt2191164|tt5281432|tt1493820|tt1773282
Anup Das,director|writer,tt1745753|tt2781512
Chakri Toleti,director|actor|writer,tt0086231|tt1417299|tt1891755|tt3757186
Jaswant Gangani,writer|director|music_department,tt1435585|tt4760750|tt7288082
Qaushiq Mukherjee,director|writer|cinematographer,tt7981260|tt5240748|tt2261700|tt3724898
Raja Sen,writer|director|actor,tt1740745|tt1370429|tt5207116|tt2436516
Faraz Haider,director|actor|writer,tt5738464|tt3129282|tt1292703|tt7412738
Sonam Nair,director|writer|actor,tt10365978|tt1324059|tt2814372|tt6337878
Anusha Rizvi,writer|director,tt1447508|tt3779396
Rajesh Sethi,director,tt1445563|tt0360693|tt1486321|tt7963766
Rahul Dahiya,writer|director|actor,tt0995823|tt3542186|tt1585630|tt4307132
Abhinav Kashyap,writer|director|actor,tt1385824|tt1620719|tt0289725|tt2576450
Amit Masurkar,writer|director|music_department,tt6484982|tt2191641|tt2679480|tt2429640
Amit Rai,director|writer,tt1471247
M. Madhusudhana Rao,director,tt0186799
